content,SENTIMEN,,,,
Super the best banget . Dan PUAS belanja di shoppe,positif,,,,
Senang berbelanja di shoope ..tingkatkan terus pelayanannya,positif,,,,
Allahu Akbar semoga saya dapat mobil??,positif,,,,
sangat bagus untuk semuanya,positif,,,,
Sangat lemot..!!,negatif,,,,
Nice job,positif,,,,
Jos,positif,,,,
Jos..mantab,positif,,,,
Aplikasi shopee sangat bermanfaat sekali,positif,,,,
Belanja jadi lebih mudah..dari jauh bisa memberi hadiah buat keluarga,positif,,,,
"UI, serves ampas",negatif,,,,
Shopee mendukung penjual-penjual penipu yg sangat merugikan pembeli,negatif,,,,
Good job,positif,,,,
"tingkat keamanan menyulitkan pengguna, karna kita tidak bisa melakukan transaksi diakun kita sendiri jika terdeteksi baru login diperangkat baru. padahal saya sendiri pemilik akun tsb hanya karna saya mereset hp saya lalu saya tidak bisa melakukan transaksi.",negatif,,,,
trh,negatif,,,,
Sangat membantu buat para pejuang rupiah,positif,,,,
Sangat bermanfaat bagi yang memerlukan pembelian yang sulit dicari di kota" dekat,positif,,,,
BAgus,positif,,,,
bagi kan saya banyak koin,positif,,,,
Shopping jadi mudah di Shopee.,positif,,,,
Aplikasi paling jelek sekali ini shope jelek lemot??,negatif,,,,
Cakep,positif,,,,
Shopy p4nt3k,negatif,,,,
Sangat membantu,positif,,,,
Suka,positif,,,,
"Shopee adalah marketplace yang paling lemot dan ngebug parah sedunia, orang klik apa dianya keluar apa, parah.. mau bayar pake shopee pay loadingnya mau nunggu 10 abad!!. Aplikasi paling lemot lemot lemot dr pada yg lain. BYE!",negatif,,,,
Lalod aplikasinya,negatif,,,,
Lola mo pembayaran muter" mulu,negatif,,,,
"Promo diawal saja sudah menipu, chat CS tidak solutif masalah dilempar sana sini sampai nunggu beberapa hari cuma karena perihal promo yg belum saya gunakan tapi dari pihak shopee menolak karena pernah dipakai, padahal saya baru download dan aktivasi akun serta pakai promo itu cuma jeda beberapa menit. Banyak nipunya, CS gak solutif, aplikasi pun terlalu berat tidak nyaman. Mau kirim bukti kesalahan dari pihak shopee tapi sayang disini tidak bisa kirkm foto buat bukti.",negatif,,,,
Kecewa sama aplikasi shopi knpa gabisa isi saldo pulsa lagi tolong di perbaiki,negatif,,,,
bisa gak sih ongkir buat shopee food gausah mahal kali? untuk sekali makan aja setara sama belu beras 10 kilo padahal makanan yg dibeli murah aja. ongkir sama biaya lain lainnya yg bikin mahal,negatif,,,,
"MANA GRATIS ONGKIR OI , MASA GRATIS ONGKIR BELI ,ITU NAMANNYA BUKAN GRATIS ONGKIR SIALAN APLIKASI INI ,KAYAK BAUK2 MAU DI APUS NI",negatif,,,,
Uda pake aplikasi ini tapi iklan muncul trs di beranda hp saya. Gak masuk,negatif,,,,
baik,positif,,,,
Mantap ??,positif,,,,
Bagus,positif,,,,
Tambah lagi dong pocer nya,negatif ,,,,
aplikasinya lemot,negatif,,,,
Axel Pk br. 5 Slm 9n pth. 3 Slm 12n pth. 3,positif,,,,
Bagus,positif,,,,
Buruk ngajuin spaylager gabisa bisa udah berpuluh puluh kali padahal sering pake shope,negatif,,,,
matul bgt..,positif,,,,
????????????????????,positif,,,,
