content,SENTIMEN
super the best banget puas belanja shoppe,positif
senang belanja shoope tingkat layan,positif
allahu akbar moga mobil,positif
bagus,positif
lot,negatif
nice job,positif
jos,positif
josmantab,positif
aplikasi shopee manfaat,positif
belanja mudahdari hadiah keluarga,positif
ui serves ampas,negatif
shopee dukung jual tipu yg rugi beli,negatif
good job,positif
tingkat aman sulit guna karna transaksi akun deteksi login perangkat milik akun tsb karna mereset hp transaksi,negatif
trh,negatif
bantu juang rupiah,positif
manfaat beli sulit cari kota,positif
bagus,positif
koin,positif
shopping mudah shopee,positif
aplikasi jelek shope jelek lot,negatif
cakep,positif
shopy pntk,negatif
bantu,positif
suka,positif
shopee marketplace lot ngebug parah dunia orang klik dia parah bayar pake shopee pay loadingnya nunggu abad aplikasi lot lot lot dr yg bye,negatif
lalod aplikasi,negatif
lola mo bayar muter mulu,negatif
promo awal tipu chat cs solutif lempar nunggu perihal promo yg shopee tolak pakai download aktivasi akun pakai promo jeda menit nipunya cs gak solutif aplikasi berat nyaman kirim bukti salah shopee sayang kirkm foto bukti,negatif
kecewa aplikasi shopi knpa gabisa isi saldo pulsa tolong baik,negatif
gak sih ongkir shopee food gausah mahal kali makan aja tara belu beras kilo makan yg beli murah aja ongkir biaya yg bikin mahal,negatif
gratis ongkir oi gratis ongkir beli namannya gratis ongkir sial aplikasi kayak bauk apus ni,negatif
uda pake aplikasi iklan muncul trs beranda hp gak masuk,negatif
,positif
mantap,positif
bagus,positif
pocer nya,negatif 
aplikasi lot,negatif
axel pk br slm pth slm pth,positif
bagus,positif
buruk ngajuin spaylager gabisa udah puluh puluh kali pake shope,negatif
matul bgt,positif
,positif
forum yg good jual beli percaya so good,positif
oke,positif 
aplikasi gak banget berat banget woyy lelet muter gak,negatif
sih shopee tuh lot banget bikin kesel,negatif
aneh,negatif
aplikasi cacat banyak fitur gajelas bikin seller jual lot beda kaya toko ijo ringan enak karna fokus jual beli fitur shopee video ngikutin tiktok bikin lot pake sinyal serakah banget ken aplikasi aplikasi gapernah upgrade coba kembang aplikasi suruh cobain make aplikasi gereget,negatif
tinggalin shoopee aja rame apk sdh gak jelaslemodgak kek lagikek apk sampah,negatif
puas layan cod nya,positif
mantappppp,positif
gak ribet belanja,positif
kalo pasang iklan gak ngotak -tombol close - iklan detik closenya ampe -gak pencet ngarah playstore hahaha miskin lu tong,negatif
lemotvideo klik komen susah,negatif
mudah percaya aman,positif
lot,negatif
lola bgt skrng aplikasi banyak fitur capek cari brg ga sat set ngeblank mulu,negatif
mantul,positif
ok,positif
suka aplikasi shopee murah dapet gratis ongkir,positif
tipu shopee udh bngt kena tipu toko shopee,negatif
layan bagus gak shopepay,
nama doang shope expres paket stak cileungsi udah kaga jalan jalan,negatif
suka shopee belanja online proses cepat tanggap terima kasih shopee,positif
shopee no,positif
okk,positif
alahamdulillah shopee aman,positif
ok,positif
terimakasih shopee,positif
waspada pakai apk shoope kena rancunnya seoerti gratis ongkirnya batang murah kualitas,positif
puas,positif
bantu,positif
bagus,positif
login akun scan login aja gabisa gimana scan ribet mending pake apk ijo,negatif
yah ga buka ga muncul apa ngecek pesan cek out ga gimana,negatif
mantap pokok belanja shopee,positif
iklanya alai banget,negatif
bagus,positif
god job,positif
bagusmahal mahal ongkir barang shopekwalitas barang ny gak bagus,negatif
bikin iklan game ngotak dikit,negatif
bagus,positif
be de bes ngentid mentol jiwa,negatif
terimakasih alhamdulillah wan al,positif
aplikasi ny udah bgus msalah ny hnya tinggal kurir ny yg mngkin gk sop ny klu kerja barang blm tuju kembali toko ny alas beli hubung gilak pesan paket pakai voucher ya makany kek gtu kerja tolong lh shopee cepat respon status barang kirim nomor telepon kurir ny,negatif 
nyesel banget top up tolol apknya,negatif
patennn,positif
puas blnja dsni byk voucher nya,positif
ngotak dikit isi pulsa tiba ga proses,negatif
klik bayar langsung hubung seabank opsi bank customer service hubung mesin default bantu banyak langgan kayak nggak butuh bye sophee,negatif
bantu,positif
customer harap bijak pilih toko beli barangsoalnya jual ramai gak jamin barang bagusapalagi barang elektronikkalo shopee official shopee mallsoalnya toko barang elektronik no jual kualitas barang jelekbekasatau dapet barang palsu dah gak berfungsihanya dar ingat customer teliti beli barang,negatif 
suka ngelag,negatif
pdhl dlu apk olshop favorit stlh update mlh shopeepay plus nya gak buka huh kecewa bgt,negatif
suka belanja shopee,positif
oo,positif
mantap,positif
bagus aplikasi sip,positif
lelet berat,negatif
guna setia shope,positif
percaya,positif
lot aplikasi buka shopee serasa main genshin impact resulusi hd pake hp ram gb signal bagus aja lot pas jelek lot kayak akslerasi scoopy new awokwokwok,negatif
bagus bang,positif
shoope bagus barang nya jamin kualitas bagus,positif
klo adain voucer diskon kak guna baruu,positif 
bagus aplikasi,positif
bagis,positif
layan nyaman kirim rapih cepat,positif
asyiiiappo,positif
aplikasi bagus orang orang yg belanja hemat kualitas bagus,positif
kamuu nanyaaaaaa,negatif
bantu,positif
sistem shoope pay jalan,negatif
siiiiplah,positif
mampir ya,positif 
lumayan adapeningkatan layan,positif
sistem jalan bagus shoope pay,negatif
ok,positif
keren,positif
vvb,negatif
delay sinyal kpn pdhl senang banget belanja lohhh,positif
suka,positif
skrang pesan shoppe foodtidk sedia bayar untk paylater,negatif
spaylater lunas kemarin blokir maaf kasih bintang layan muas customer,negatif
gabung shopee milik kelola toko online terkadang transaksi beli toko bagus yg ckup kecewa sulit pinjam aplikasi yg sedia shopee,positif
alhamdulillah,positif
aplikasi nya bagus login akun baca blokir,negatif
yg bahagia,positif
bantu,positif
bagus ok bye,positif
keren,positif
bagus,positif
ok,positif
bagus benget mudah belanja online,positif
shope mantap,positif
aplikasi berat susah milih milih barang kalo belanja,positif
bgusss,positif
noo shopee nggak,negatif
,positif
shopee bagus jual online aplikasi lot menganggu update produk obat jaring bagus,positif
aplikasi keren,positif
bagus shopee,positif
mantap,positif
opsi kirim loading nya,negatif
nice,positif
cod gak bisakatanya barang ggl kirim kembalikanalasanya gk masuk akal yg masalah jasa kirim shope undur pesan gk diantaraneh,negatif
shopee jdi byak biaya tambah voucher gratis ongkir gk dlu,negatif
kacau nih kalo sellernya barang rusak ekspedisi ganti beli seller susah banget suruh tunggu ganti mah kaga,negatif
suka pake shopee,positif
shopee kesini pelit member platinum gratis ongkir minggu gratis nya,negatif
eror gak kayak leg update parah kecewa diskon nya puas ongkir mahal kecewa banget,negatif
aplikasi loading apalgi bayar pdahal jaring full,negatif
blanja simple,positif
lot,negatif
mantap,positif
shoppe tipu,negatif
oke,positif
bagus,positif
sy shopee tarik belanja shopee senang salam sukses,positif
apk yg sngt bguss sya tdk mnyesal mendownload shopee,positif
ngelag kali apk ny,negatif
mantab mudah,positif
ok,positif
hp spek lumayan lot tolong dev dengar saran user reels gk video gk diupload yg produk jual hapus aja reels klo live msh gapapa tp baik stabil jgn fitur mulu tp gk peduli user,negatif
good job,positif
bagusss,positif
shopee keren,positif
soo far so good tolong filter toko yg nakal donk,positif
bilang apk lelet hpnya aja hp ku nggk lelet,positif
hemmm yes,positif
good,positif
mantap,positif
good,positif
mntap lnjut smoga mkin jaya,positif
bgus bgt,positif
shopee food biaya layan ubah mahal daerah sidoarjo ya gak tau daerah beda,negatif
parahhh aplikasi lot dehhh sdh kali upgrade haduhhh bikin rugi cape hati,negatif
bintang bicara,negatif 
shopee lot kasih bintang,negatif
mohon shopee cek ulang aplikasi update lelet berat sulit buka aplikasi pakai shopee nyaman sulit bertraksaksi mohon cek pakai aplikasi shopee nyaman terima kasih,negatif
sopi edan,negatif
lelet lot,negatif
keluh user shopee tolong adakan fitur on off user milih nerima nonton fitur shoppe live shoppe video fitur langsung shopee berat lag ghost touch lancar cepat shopee ribet lola nya gak user shopee pasti suka klik nonton shopee live shoppe video trima,negatif
spinjam ku aktif yaa knp payleter ku yg tambah limit nya,negatif
lumayan tahan,positif
antap,positif
neng banget shoper byk gratis ongkir nya,positif
nilai minus bintang pilih minus bintang deh topup shopeepay pake kode otp no spay aktip jaring hp bagus tetep engga no otp udh kirim ulang ttp engga mending balikin kaya engga verif no hp lancar ajh tuh imbas engga pake spay pdhal overall fitur ny shopee guna hidup,negatif
download nya,negatif
suka aja shopee,positif
ok,positif
